seg_id,time_to_failure
seg_00030f,3.16345030153463
seg_0012b5,5.1229034920016705
seg_00184e,4.878316564579939
seg_003339,7.867255038555255
seg_0042cc,6.608135093974994
seg_004314,1.6867020705471385
seg_004cd2,6.942807312075827
seg_004ee5,3.634670009102882
seg_004f1f,5.022599422848941
seg_00648a,1.989484762304909
seg_006e4a,2.4666442388763423
seg_007a37,5.006310571394929
seg_00a37e,4.037340719401676
seg_00be11,2.850408950605897
seg_00c35b,8.267232817243507
seg_00cc91,4.767180170602445
seg_00e5f7,5.912698463646338
seg_00f3b9,4.262543071607911
seg_010eab,6.968191034474546
seg_0125d9,4.632589628585883
seg_0144cb,4.653183320792674
seg_0165c6,9.040275841566359
seg_016913,4.428737244376609
seg_016cdb,5.122448437722433
seg_017314,7.024122738999489
seg_01a8dc,5.287372241346036
seg_01c775,7.253507083088255
seg_01ecb0,4.689585475991137
seg_02042f,2.030256132029955
seg_025e78,5.4238938311991145
seg_032822,4.907207404633718
seg_0339ca,4.193168681323912
seg_037461,4.763469879950398
seg_038879,6.806717030507445
seg_03d386,1.7330699724784793
seg_03d63e,4.664597924762536
seg_03d680,8.565113733835307
seg_03f380,4.177539113718003
seg_0445d7,4.281508362040139
seg_046c28,2.16265301450515
seg_0488a1,6.65029088327622
seg_049957,9.078061498802985
seg_04a696,7.86055489141285
seg_04ae38,4.89229701063297
seg_04b87a,8.056155911664145
seg_04cceb,7.5835646057458055
seg_04ee93,7.52727352558389
seg_04fd93,5.530653713128389
seg_0536c9,4.210705435825778
seg_055127,6.054327990201036
seg_05a1b0,4.995366969445248
seg_05a4ad,7.126833551385695
seg_05b66a,9.193099302703548
seg_05bef4,2.4172637833219213
seg_05e0d7,3.810524919993218
seg_05f126,8.283348319847542
seg_05f9d6,6.47472373269981
seg_060ce4,2.23723148676325
seg_061a33,6.9762216559466514
seg_0620e6,6.071780355078516
seg_063865,6.339824692244422
seg_065588,4.13892906226938
seg_06893f,2.0207722676047806
seg_06b8c9,5.296819265917048
seg_06bbc5,2.551135253317291
seg_06d4a2,4.13728896182669
seg_06d7ba,2.541652377519784
seg_070bb0,1.8762094281467416
seg_071067,2.768506553447108
seg_073696,8.610970265161475
seg_075340,4.750908615907888
seg_075f77,2.629727990418656
seg_0775a7,3.970571626433622
seg_077b7e,4.920476697121483
seg_079e34,4.613400917694924
seg_07c815,5.103919908557396
seg_07cd72,4.4054905033900225
seg_07f37c,3.611140750985875
seg_07f8df,4.957185184725548
seg_07fc6d,7.359474385586821
seg_086a61,8.873701196020246
seg_0870ab,5.189619480767419
seg_0879a8,7.741576453285099
seg_08b136,7.496945149164058
seg_08f441,4.436885727753887
seg_08fd5b,3.549828099610512
seg_091c9d,8.944721941955237
seg_093a0a,7.653589467215851
seg_0968f1,6.887245529309866
seg_0981f3,2.267504958396601
seg_09dd59,6.895000826296102
seg_09ed4e,9.305448707225466
seg_09f0ff,4.801289363120914
seg_0a0fbb,9.31857553730856
seg_0a1bd0,4.685587359963062
seg_0a42ba,8.480048419345788
seg_0a45a1,3.779253468265531
seg_0a97c4,5.358455748304935
seg_0aa0fb,6.6838517172145115
seg_0b07c7,5.686534246123734
seg_0b082e,6.941818300285771
seg_0b32f7,3.0274601048739815
seg_0b3b94,5.703960407235081
seg_0b48c4,3.4754393493931564
seg_0b4b24,4.304076443206128
seg_0b54ac,3.7101931025553667
seg_0b76f5,9.37685756258205
seg_0b9ad8,7.197519982513589
seg_0b9ba3,9.066974731311324
seg_0ba210,9.547742192428425
seg_0ba585,5.187768671036318
seg_0bb5fd,4.387571132450063
seg_0bc877,2.1318108934002655
seg_0be6ee,2.405846937326415
seg_0c12cc,7.712426339795755
seg_0c1d3a,3.3469792705196304
seg_0c247b,5.973119282191179
seg_0c3943,2.560999812916669
seg_0c4e31,1.7278719777316744
seg_0c74cf,2.8668572870732034
seg_0c8502,8.202397733003355
seg_0c89ce,6.139295492914885
seg_0c9aa8,8.659327166198597
seg_0cb81b,2.7491411258964162
seg_0cca14,4.490083709399718
seg_0cdcc8,2.3152673840180706
seg_0cf651,2.9009999755496807
seg_0d0250,4.005503003976621
seg_0d04b9,5.295527003891449
seg_0d13a7,4.305843913715614
seg_0d434c,8.132722195536273
seg_0d540e,2.67223840513133
seg_0d663a,8.1561381935927
seg_0d6d68,5.308835093386011
seg_0d762e,6.678360110002149
seg_0d833c,7.238843258713246
seg_0dae4b,3.709310285662397
seg_0dc38f,2.4037464250601293
seg_0dcc40,5.950404197553101
seg_0df469,4.455404704080129
seg_0df75c,8.562037147033871
seg_0dfe8c,3.6735578618037588
seg_0e1370,1.8258284603001498
seg_0e1fbe,4.829150913588075
seg_0e3739,4.874176380175476
seg_0e3d44,2.5128011683091285
seg_0e3ed2,2.0527381083034295
seg_0e4833,9.457229590145879
seg_0e7cc5,6.765822994902284
seg_0e8b79,8.865160388602575
seg_0e9987,5.290329002335814
seg_0e9bb3,6.942997886365034
seg_0eb333,1.9531230523613838
seg_0ebfd9,4.817892838509629
seg_0f565c,4.841989201360768
seg_0f74a3,6.183317940260545
seg_0f8961,7.769160453621288
seg_0fc67a,8.358058080268485
seg_0fca83,4.108819937952303
seg_0fd3ff,2.581673662700749
seg_1010ad,7.744272491024186
seg_103b32,3.8395851060019988
seg_105cd9,4.2739823390462
seg_1084af,6.156979472373735
seg_10a595,4.519815042050311
seg_10c09d,8.337895699208069
seg_10f3a6,4.425263048454236
seg_112b81,6.530168723663322
seg_1144bc,9.200322777386294
seg_114b79,5.446686058430065
seg_115617,2.5017372225023933
seg_115a92,4.319074096307504
seg_11647f,4.397445876488342
seg_117278,5.115441777943974
seg_117ff4,4.306920017711243
seg_11860f,4.3452084750692
seg_1201e8,4.733625024564222
seg_121446,7.580993105769524
seg_121cba,3.049411454796107
seg_122ba9,4.4085118041064595
seg_123dd4,7.345224350246608
seg_12ac20,9.363500945212014
seg_12b9ba,6.223956784346544
seg_12ee6e,3.3193135616662928
seg_130e17,2.558544796112282
seg_13468a,4.967056059675026
seg_136285,5.3520709060033465
seg_136695,7.3141694220634195
seg_137f8a,7.999498938529095
seg_138807,5.103043366381484
seg_13c2f0,4.831564696015766
seg_13e25f,6.819346090617404
seg_140bc5,2.868058899552908
seg_141f34,9.331518756851894
seg_146926,9.288927826584066
seg_148698,7.389991200667703
seg_14ad27,2.0172360605533766
seg_14c054,8.029445399728383
seg_14c371,7.485011215172586
seg_14c435,4.2412382831278
seg_14c89d,5.404038032310297
seg_14c8ce,7.460281714892668
seg_14d1d3,5.383379982649325
seg_14f5f0,7.0429798933467636
seg_151368,7.104375874112624
seg_151d92,2.4008770647981317
seg_153d6a,8.953600294080083
seg_154361,7.428890535019346
seg_1562cb,7.75583556461176
seg_158691,3.8932460819730017
seg_158764,6.2791429053891665
seg_15adff,4.477152505351449
seg_15bf25,7.196543560435238
seg_15c9f9,2.543030983199113
